gvkey,conm,fyear,ni,at,rect,invt,dpc,oancf
1001,Aalberts Industries,1995,1530.3,34965.82,5787.54,6699.6,740.99,1132.63
1001,Aalberts Industries,1996,2239.04,37505.47,5749.14,1901.55,1964.43,
1001,Aalberts Industries,1997,539.91,38348.7,9601.26,8430.65,1693.06,956.16
1001,Aalberts Industries,1998,-1637.75,42430.5,4221.12,1699.4,2311.12,978.62
1001,Aalberts Industries,1999,2116.46,45883.36,6309.31,5447.42,1587.26,3483.64
1001,Aalberts Industries,2000,1675.87,51570.65,16511.97,2364.13,1368.48,2901.19
1001,Aalberts Industries,2001,536.99,51116.79,4466.37,553.34,1569.78,3466.75
1001,Aalberts Industries,2002,3146.56,53696.38,5331.77,3291.17,1642.85,6082.96
1001,Aalberts Industries,2003,4420.11,55502.72,11414.41,3259.17,1214.66,6566.12
1001,Aalberts Industries,2004,2778.67,57635.85,3987.2,8599.45,,6708.19
1001,Aalberts Industries,2005,-272.99,58984.1,5160.91,4961.6,3430.08,3234.53
1001,Aalberts Industries,2006,1332.01,62894.34,9108.78,12484.06,2789.92,3432.06
1001,Aalberts Industries,2007,1608.73,59056.32,8416.06,5587.63,3145.73,5465.22
1001,Aalberts Industries,2008,5383.63,58282.3,1103.36,9000.95,2951.03,9786.92
1001,Aalberts Industries,2009,1899.7,58002.45,11584.52,2887.63,1883.26,3970.5
1001,Aalberts Industries,2010,376.05,58008.67,10403.2,7310.21,1694.12,905.7
1001,Aalberts Industries,2011,1414.47,58623.66,15719.66,1666.55,1482.74,1734.59
1001,Aalberts Industries,2012,-694.09,58835.82,9852.45,6400.4,2173.58,1866.61
1001,Aalberts Industries,2013,-2065.0,56481.71,11693.62,7360.0,2143.17,184.24
1001,Aalberts Industries,2014,2442.73,60942.27,19193.81,1020.06,3654.79,4575.87
1001,Aalberts Industries,2015,974.83,69739.13,13139.47,10798.41,4143.37,4403.97
1001,Aalberts Industries,2016,724.21,73999.62,12353.51,21082.23,1938.19,-1643.5
1001,Aalberts Industries,2017,1593.23,72082.23,10428.33,5363.98,4211.85,6154.49
1001,Aalberts Industries,2018,203.79,72943.23,5963.6,7134.94,3193.51,3872.49
1001,Aalberts Industries,2019,1545.34,71256.28,13645.03,5616.65,2280.19,2092.34
1001,Aalberts Industries,2020,5445.96,77992.59,14159.93,22993.47,2387.2,4506.09
1001,Aalberts Industries,2021,1702.56,84374.67,18800.18,16039.12,1713.9,174.54
1001,Aalberts Industries,2022,285.26,87158.66,586.44,10001.56,2692.67,6019.81
1001,Aalberts Industries,2023,7492.02,92776.96,12745.6,15235.03,2882.32,
1002,ASML Holding,1995,1249.53,34424.23,9224.76,1202.24,1904.5,2817.82
1002,ASML Holding,1996,216.36,37184.9,6261.83,4466.81,2080.75,2906.67
1002,ASML Holding,1997,2812.61,34427.13,7696.85,4845.4,1969.07,3734.3
1002,ASML Holding,1998,-653.97,37393.67,9947.47,4120.82,1960.55,1399.77
1002,ASML Holding,1999,3026.23,34646.4,8334.46,4221.26,1115.88,3218.2
1002,ASML Holding,2000,1603.99,37379.09,2774.18,7502.77,2214.56,2942.07
1002,ASML Holding,2001,3696.48,37115.13,10277.91,6002.41,1387.46,2881.94
1002,ASML Holding,2002,649.0,36506.17,2597.9,5364.5,1516.4,3348.45
1002,ASML Holding,2003,1001.58,38019.47,3129.51,6661.53,2050.03,2617.95
1002,ASML Holding,2004,2655.28,38689.61,3623.22,4794.06,2170.96,5288.74
1002,ASML Holding,2005,1526.57,38959.32,5624.4,3131.52,1503.81,1982.37
1002,ASML Holding,2006,1807.24,35559.65,5619.96,2131.03,1875.31,3468.51
1002,ASML Holding,2007,1534.88,35552.5,6909.57,4957.36,814.62,899.45
1002,ASML Holding,2008,3182.38,38101.22,3388.76,3680.01,924.47,4356.83
1002,ASML Holding,2009,2677.41,35705.71,4332.8,4933.97,1858.72,4190.15
1002,ASML Holding,2010,-47.67,32804.62,7386.84,1407.26,1833.4,1288.61
1002,ASML Holding,2011,1236.22,31947.84,6435.28,916.37,989.87,2006.49
1002,ASML Holding,2012,2180.71,32996.89,3476.64,2864.99,1197.92,3995.94
1002,ASML Holding,2013,1627.01,33622.25,7411.63,5402.65,,1786.67
